video_id,topic_0,topic_1,topic_2,topic_3
zIbNJCSCEjk,0.0004069083874165166,0.00039496907416182187,0.00039510733374393197,0.9988030152046778
nKTwz9mdsFw,0.0007775712227597494,0.0007556378576249219,0.0007595938611972176,0.9977071970584181
867AUDQ9DQc,0.15665170162391442,0.0006580970189417909,0.0006604696641849515,0.8420297316929588
xzNkKONrwRU,0.003756436748792848,0.9886482873966159,0.00371370521149046,0.003881570643100711
KZJm-Bt4rSs,0.000292628738687703,0.000283859281148467,0.00028890448270066577,0.9991346074974631
q5dy-NtVeF0,0.00016336458499062012,0.0001620165682141463,0.9995107155761518,0.00016390327064347743
wZDE-SWZAuE,0.9994637251726333,0.00017664283046011498,0.00017769554030708581,0.00018193645659943147
GcaiTZKlCj4,0.00015724093588525819,0.00015340182709843163,0.0001533408863609669,0.9995360163506553
Qx3YMdcLTZo,0.44222543260600866,0.00045017081011153803,0.0004465176899115601,0.5568778788939681
bgKq6FQB6BM,0.1932240163466826,0.00027872976460226943,0.0002745671701604561,0.8062226867185546
aaVH6m6srdk,0.0007412912887353139,0.0007142339570142437,0.0007357343156321451,0.9978087404386183
3qj_TyK4UQ0,0.28660423585616684,0.006141477609957118,0.006199715399134398,0.7010545711347417
rfp_5g7yrTs,0.003658699852217854,0.0036220455882635407,0.0036642038796769055,0.9890550506798417
I7nPzjvIhiI,0.27621959564807314,0.00015772067925912415,0.00016032054234308657,0.7234623631303245
Sg2Xqd8kx_U,0.5426958004488999,0.0001212573545475531,0.00012175105502026622,0.45706119114153226
ZLv636OxgL4,0.0006182124978915428,0.0006062632126776947,0.000597380556715435,0.9981781437327153
DFCslu5jVKo,0.6853763696282621,0.0003889023691387634,0.3138327149348844,0.00040201306771467675
3I81-P_lwvw,0.0012780599174950793,0.0012962570327543171,0.0012868592594832149,0.9961388237902673
qF4GepJrT9Y,0.00045575250198645373,0.0004478380313927614,0.0004519934224775886,0.9986444160441432
ZrLBM7E7pc4,0.0007324015858855152,0.9978176598290261,0.0007176314221426699,0.0007323071629455793
1O3fHAsdjNg,0.00031166350074102823,0.0003036000317343084,0.00030511447756749655,0.9990796219899571
jAvZSGUCWjg,0.18096399378658323,0.00032956844775437446,0.00032642215075841567,0.818380015614904
oNZ-YNHw87k,0.004258954236812061,0.0041303138141628075,0.004110927529173685,0.9874998044198515
WVAn0DW2asI,0.6422627078340128,0.00024927864619433575,0.00025391813503946047,0.3572340953847533
OwH9dTJTkZk,0.0008772158082636246,0.10275889519643557,0.0008602343086209889,0.8955036546866797
L92eadRu6zE,0.4840762052319592,0.00021934648789370814,0.00021962269050628,0.5154848255896408
nziePav5OMg,0.00040370293869678586,0.0003959717384543104,0.9987972584036229,0.00040306691922595197
7xPEuoNdFNY,0.004335518786721537,0.00421342683572637,0.9870533049533937,0.004397749424158348
zCRF3PoItD8,0.006289411978694307,0.9812701525894838,0.0060590997133052995,0.00638133571851663
z-JE8JfrEBo,0.0038433043809690016,0.0035164402018508,0.003435366975505465,0.9892048884416748
Zi4KMCQuQYE,0.0010378621693860922,0.9969052654407448,0.0010096910393566892,0.0010471813505124512
ayEFwvMwuns,0.012453803782344525,0.011730119701527644,0.011615465366035077,0.9642006111500928
D9GF1DJjdz0,0.00929009192113852,0.4488986229500562,0.008873493340139009,0.5329377917886663
MpsTYYgMmKY,0.16218800794028992,0.0007395139131617507,0.0007407963002564957,0.8363316818462918
XDHCF57Jc1w,0.28813011426366547,0.10357443986598842,0.005451088781139802,0.6028443570892063
iJUQefeMlJI,0.9976615444608387,0.00078027617798507,0.0007639139915211359,0.0007942653696551301
VEZsgAgYDhw,0.00013120468018772163,0.00012724753871204447,0.03154872280626971,0.9681928249748305
xaXCTeDF_aY,0.0005497130697259444,0.0005457084666260174,0.0005284734379577171,0.9983761050256903
cfe-IPqlReQ,0.7633348454881173,0.10794945341996859,0.0035120176527471663,0.12520368343916705
Bx3njJl-13s,0.0027997739488801418,0.002639036449135239,0.0026015472740859432,0.9919596423278987
Lql8bNv_6MU,0.010382649765505052,0.9682642915431514,0.010948273606560454,0.0104047850847831
MlSkdslNZVc,0.9990921467903484,0.00030048999798892574,0.0003029833352421203,0.0003043798764204775
LBjgDBd5qNI,0.007137008784500592,0.9789013444284153,0.006988798691376132,0.006972848095708149
ZY_A0cWA7_0,0.006670215344871014,0.040765692207941726,0.006489782019062589,0.9460743104281247
fBXlU_G6u8Q,0.13196454042293324,0.006603297022286064,0.00654223210486335,0.8548899304499173
Vh5FmZRjBpo,0.84393137124327,0.0002939407966449087,0.005349175409954506,0.15042551255013062
LSPaFHxu3K4,0.003533903338876109,0.003645684970383498,0.0035208265343635633,0.9892995851563768
ZHujeMCtZFI,0.8131993284054518,0.006770922732279654,0.0067883662154002945,0.1732413826468682
0jxjT-Pq1X0,0.9907886344414942,0.0030475322351046228,0.003014650073991231,0.003149183249410005
kH-HqBykG-g,0.0025986271750829235,0.9921680330289943,0.0026091726989646903,0.0026241670969581773
465sKRS_4M0,0.0005362509104222663,0.0005213750478667549,0.0005156005995375001,0.9984267734421736
ldAHIk1ulfs,0.1576380437928793,0.036556015620176935,0.005232105321809643,0.8005738352651341
fyWrbUcCPr0,0.00012052860718410002,0.00011630686152512077,0.00011671322956992557,0.9996464513017208
