topic,rank,video_id,weight
0,1,wZDE-SWZAuE,0.9994637251726333
0,2,MlSkdslNZVc,0.9990921467903484
0,3,iJUQefeMlJI,0.9976615444608387
0,4,0jxjT-Pq1X0,0.9907886344414942
0,5,Vh5FmZRjBpo,0.84393137124327
0,6,ZHujeMCtZFI,0.8131993284054518
0,7,cfe-IPqlReQ,0.7633348454881173
0,8,DFCslu5jVKo,0.6853763696282621
0,9,WVAn0DW2asI,0.6422627078340128
0,10,Sg2Xqd8kx_U,0.5426958004488999
1,1,ZrLBM7E7pc4,0.9978176598290261
1,2,Zi4KMCQuQYE,0.9969052654407448
1,3,kH-HqBykG-g,0.9921680330289943
1,4,xzNkKONrwRU,0.9886482873966159
1,5,zCRF3PoItD8,0.9812701525894838
1,6,LBjgDBd5qNI,0.9789013444284153
1,7,Lql8bNv_6MU,0.9682642915431514
1,8,D9GF1DJjdz0,0.4488986229500562
1,9,cfe-IPqlReQ,0.10794945341996859
1,10,XDHCF57Jc1w,0.10357443986598842
2,1,q5dy-NtVeF0,0.9995107155761518
2,2,nziePav5OMg,0.9987972584036229
2,3,7xPEuoNdFNY,0.9870533049533937
2,4,DFCslu5jVKo,0.3138327149348844
2,5,VEZsgAgYDhw,0.03154872280626971
2,6,ayEFwvMwuns,0.011615465366035077
2,7,Lql8bNv_6MU,0.010948273606560454
2,8,D9GF1DJjdz0,0.008873493340139009
2,9,LBjgDBd5qNI,0.006988798691376132
2,10,ZHujeMCtZFI,0.0067883662154002945
3,1,fyWrbUcCPr0,0.9996464513017208
3,2,GcaiTZKlCj4,0.9995360163506553
3,3,KZJm-Bt4rSs,0.9991346074974631
3,4,1O3fHAsdjNg,0.9990796219899571
3,5,zIbNJCSCEjk,0.9988030152046778
3,6,qF4GepJrT9Y,0.9986444160441432
3,7,465sKRS_4M0,0.9984267734421736
3,8,xaXCTeDF_aY,0.9983761050256903
3,9,ZLv636OxgL4,0.9981781437327153
3,10,aaVH6m6srdk,0.9978087404386183
