Row ID,WC,Narrativity_Overall,Narrativity_Staging,Narrativity_PlotProg,Narrativity_CogTension,Peak_Staging,Peak_PlotProg,Peak_CogTension,Valley_Staging,Valley_PlotProg,Valley_CogTension,Staging_1,Staging_2,Staging_3,Staging_4,Staging_5,PlotProg_1,PlotProg_2,PlotProg_3,PlotProg_4,PlotProg_5,CogTension_1,CogTension_2,CogTension_3,CogTension_4,CogTension_5
1,865,30.9,68.49,-19.56,43.76,1,1,2,4,3,1,100,72.73,100,0,9.09,100,80,0,100,60,0,100,0,100,0
2,137,-37.75,-37.42,-54.43,-21.4,3,1,4,1,2,2,0,71.05,100,50.88,26.32,100,0,4.32,21.6,56.17,94.74,0,50.88,100,50.88
3,190,16.94,52.49,-7.55,5.88,3,2,3,2,4,4,85.71,0,100,85.71,71.43,57.14,100,42.86,0,57.14,25,25,100,0,50
4,186,-20.11,-34.49,-52.72,26.87,3,1,2,1,2,1,0,22.84,100,80.71,42.13,100,0,23.03,0,34.55,0,100,50.65,50.65,100
5,1855,-4.39,40.93,-8.99,-45.1,5,4,1,4,2,3,57.14,95.24,4.76,0,100,82.35,0,94.12,100,58.82,100,25,0,100,93.75
6,284,31.26,65.83,-5.06,33.02,1,2,5,4,3,1,100,50,100,0,19.05,62.5,100,0,68.75,77.46,0,73.68,73.68,49.12,100
7,664,8.44,27.12,-0.96,-0.83,2,5,5,5,4,1,49.03,100,49.03,59.23,0,32.61,24.46,89.68,0,100,0,98.69,0,24.67,100
8,97,,,,
9,186,39.55,31.29,15.9,71.46,4,4,4,5,2,1,55.26,20,60,100,0,31.14,0,50,100,16.67,0,50,50,100,0
10,150,20.28,43.75,26.69,-9.62,4,3,5,3,4,1,62.5,25,0,100,37.5,14.29,85.71,100,0,71.43,0,66.67,0,33.33,100
11,935,-16.77,-43.82,-38.64,32.15,4,1,2,1,4,5,0,27.27,72.73,100,68.18,100,93.33,13.33,0,66.67,55.56,100,55.56,11.11,0
12,162,21.51,44.65,17,2.86,5,4,2,2,5,3,47.29,0,51.23,18.72,100,59.47,83.71,50,100,0,66.67,100,0,68.75,34.37
13,71,,,,
14,699,33.49,70.82,-0.87,30.51,1,3,4,2,4,1,100,0,60,0,44.32,33.33,6.67,100,0,69.02,0,0,0,100,1.8
15,54,,,,
16,599,14.14,14.76,-30.82,58.47,3,2,4,2,3,5,33.33,0,100,73.33,54.9,89.47,100,0,15.79,53.74,24.68,24.68,74.89,100,0
17,684,21.65,-6.26,8.06,63.15,2,4,4,4,3,1,12.5,100,50,0,27.67,33.33,33.33,0,100,29.9,0,66.67,50,100,67.52
18,145,-5.18,-14.28,-35.46,34.2,5,5,3,1,2,1,0,60,40,20,100,50,0,0,50,100,0,33.33,100,33.33,66.67
19,137,44.71,70.48,10.07,53.59,1,3,4,3,2,1,100,82.8,0,71.34,53.5,27.27,0,100,29.29,43.43,0,0,50,100,0
20,131,7.07,7.51,5.27,8.43,2,3,3,3,2,1,27.16,100,0,66.67,66.67,46.91,0,100,50,0,0,0,100,50,100
